Date,Close/Last,Volume,Open,High,Low
05/09/2025,$187.76,3178419,$189.84,$189.84,$186.48
05/08/2025,$189.50,5081550,$188.93,$192.66,$188.48
05/07/2025,$186.55,4734015,$186.93,$189.11,$185.52
05/06/2025,$185.71,3461875,$185.00,$187.22,$184.00
05/05/2025,$187.90,3105110,$185.47,$189.47,$185.14
05/02/2025,$187.83,4696684,$184.05,$189.34,$182.8938
05/01/2025,$180.22,3232047,$179.74,$181.97,$178.33
04/30/2025,$180.26,4171372,$180.20,$180.81,$174.72
04/29/2025,$183.08,2603203,$183.10,$183.91,$180.05
04/28/2025,$183.13,3185857,$183.25,$185.66,$181.64
04/25/2025,$182.73,3464245,$184.69,$186.635,$182.525
04/24/2025,$185.05,6516728,$177.00,$186.05,$176.01
04/23/2025,$176.46,7665268,$177.00,$184.49,$175.60
04/22/2025,$170.20,6890747,$167.93,$171.40,$167.00
04/21/2025,$165.16,12120190,$169.08,$171.37,$161.51
04/17/2025,$162.77,2340528,$161.32,$164.78,$158.42
04/16/2025,$160.06,4003420,$161.50,$164.01,$157.89
04/15/2025,$163.54,2734366,$163.67,$166.93,$163.2252
04/14/2025,$162.52,3174685,$166.16,$166.16,$159.76
04/11/2025,$160.97,5339514,$161.42,$161.71,$155.8282
04/10/2025,$162.16,6294409,$169.50,$169.51,$156.75
04/09/2025,$174.91,10828450,$149.37,$177.66,$147.30
04/08/2025,$152.35,5796541,$162.94,$164.31,$149.69
04/07/2025,$154.67,8586518,$144.94,$159.695,$143.22
04/04/2025,$150.57,11073790,$156.90,$158.50,$146.185
04/03/2025,$164.04,13576310,$166.00,$176.45,$158.52
04/02/2025,$182.18,3578959,$175.00,$184.31,$173.3065
04/01/2025,$178.22,3248292,$177.18,$179.46,$175.56
03/31/2025,$179.30,6130683,$171.51,$180.23,$171.25
03/28/2025,$173.53,2617392,$177.26,$179.34,$171.5275
03/27/2025,$178.15,2463281,$178.04,$179.94,$175.66
03/26/2025,$179.83,3258360,$183.40,$184.84,$178.915
03/25/2025,$182.44,3463582,$183.94,$184.00,$180.3473
03/24/2025,$180.86,3801703,$178.33,$181.75,$176.5001
03/21/2025,$174.82,5075190,$172.67,$175.31,$171.48
03/20/2025,$174.47,2845345,$170.44,$175.95,$170.305
03/19/2025,$172.60,4132006,$168.00,$174.55,$166.05
03/18/2025,$168.78,4972331,$165.61,$169.47,$164.5775
03/17/2025,$165.26,13698520,$170.00,$172.50,$159.91
03/14/2025,$171.87,3898892,$168.61,$172.24,$167.50
03/13/2025,$166.12,3388408,$171.69,$171.6968,$164.27
03/12/2025,$170.45,4947935,$169.50,$172.27,$167.38
03/11/2025,$165.40,5541282,$165.13,$167.68,$163.03
03/10/2025,$163.87,6937835,$167.99,$168.04,$160.71
03/07/2025,$173.17,10064820,$175.00,$175.52,$168.22
03/06/2025,$176.13,5779877,$179.79,$182.12,$175.56
03/05/2025,$185.95,3509468,$184.98,$186.50,$181.605
03/04/2025,$184.90,6272230,$192.06,$192.66,$180.9301
03/03/2025,$196.18,3680250,$200.30,$202.245,$193.20
02/28/2025,$200.55,3699582,$198.60,$200.72,$196.70
02/27/2025,$196.98,2866948,$198.57,$201.48,$196.259
02/26/2025,$196.77,3543489,$196.17,$199.58,$195.38
02/25/2025,$193.91,4520338,$199.96,$200.645,$190.895
02/24/2025,$199.92,3057109,$201.31,$202.68,$195.795
02/21/2025,$200.20,3960691,$205.57,$206.36,$199.11
02/20/2025,$205.37,3975589,$210.00,$210.67,$200.88
02/19/2025,$209.82,4670438,$204.00,$210.10,$203.00
02/18/2025,$202.80,4548637,$203.40,$203.88,$201.01
02/14/2025,$202.16,2506460,$197.80,$203.229,$197.565
02/13/2025,$197.31,3213662,$197.21,$198.77,$192.955
02/12/2025,$196.54,4601188,$199.12,$199.13,$193.65
02/11/2025,$199.28,2049300,$197.37,$200.52,$197.35
02/10/2025,$198.79,2595887,$203.42,$203.60,$197.985
02/07/2025,$203.21,1772372,$206.94,$207.415,$202.805
02/06/2025,$206.64,3633940,$205.60,$207.00,$203.50
02/05/2025,$203.78,2371958,$201.82,$204.00,$198.90
02/04/2025,$200.12,3090109,$202.45,$203.46,$199.49
02/03/2025,$200.91,3050102,$199.74,$202.30,$197.115
01/31/2025,$203.71,2752181,$203.08,$206.62,$203.08
01/30/2025,$204.62,2840182,$206.05,$208.63,$203.03
01/29/2025,$203.91,2906594,$202.54,$206.29,$202.54
01/28/2025,$203.12,3495435,$201.39,$204.79,$200.62
01/27/2025,$202.51,2859795,$203.02,$204.56,$200.21
01/24/2025,$203.53,4654180,$202.64,$205.43,$202.3195
01/23/2025,$204.03,5093951,$202.30,$207.24,$200.89
01/22/2025,$200.93,7313816,$196.74,$202.15,$195.343
01/21/2025,$193.21,4203668,$191.00,$194.14,$191.00
01/17/2025,$190.97,3723993,$189.00,$193.17,$187.92
01/16/2025,$188.44,2802246,$189.99,$192.18,$187.50
01/15/2025,$190.68,4534081,$191.17,$192.085,$188.33
01/14/2025,$184.72,3534601,$182.45,$185.05,$181.10
01/13/2025,$180.33,4205409,$175.48,$180.51,$174.75
01/10/2025,$175.29,4405273,$179.09,$179.25,$174.66
01/08/2025,$180.14,2355404,$180.45,$181.39,$178.87
01/07/2025,$181.89,2508305,$184.98,$185.39,$180.62
01/06/2025,$183.52,2277942,$184.98,$185.70,$181.81
01/03/2025,$180.43,1886746,$180.00,$180.52,$177.22
01/02/2025,$178.71,1792943,$180.00,$182.19,$177.09
12/31/2024,$178.32,1175012,$178.49,$179.62,$177.55
12/30/2024,$177.93,1726484,$178.15,$179.30,$175.83
12/27/2024,$180.22,1209146,$181.09,$182.85,$179.48
12/26/2024,$182.36,1255727,$180.76,$182.735,$180.01
12/24/2024,$182.12,931274,$179.83,$182.24,$179.65
12/23/2024,$179.97,2095275,$177.40,$180.35,$177.17
12/20/2024,$178.65,5164475,$175.08,$180.863,$174.27
12/19/2024,$175.66,4034803,$178.93,$180.24,$174.29
12/18/2024,$174.44,3191887,$181.64,$182.685,$173.96
12/17/2024,$181.18,2995335,$183.04,$184.30,$181.07
12/16/2024,$185.11,2105408,$184.63,$185.31,$182.97
12/13/2024,$184.53,2053171,$185.88,$186.065,$183.67
12/12/2024,$184.75,2185207,$185.70,$186.65,$184.17
12/11/2024,$186.05,2802987,$184.75,$186.75,$182.876
12/10/2024,$183.93,2976823,$185.04,$185.3757,$182.85
12/09/2024,$184.72,3212696,$186.80,$188.73,$184.60
12/06/2024,$187.96,2696798,$186.36,$188.22,$186.00
12/05/2024,$185.57,1682558,$185.50,$186.56,$184.365
